,name,email,country,signup_source,referral,signup_purpose,subscription_level,payment_method,sso_id,email_verified,enabled,registered_at
0,Tammy Lowery,warrendebra@example.net,Liechtenstein,twitter,https://www.perez.biz/privacy.html,business,trial,paypal,4c4afcc7-a379-403e-beb5-57659c5aaa63,True,True,2024-03-31T22:25:22
1,Francisco Hodge,gperez@example.net,Thailand,google,http://www.black-wright.com/app/list/main/register.html,personal,premium,paypal,88decaf7-2d95-4e66-8dfd-fcd5b9bb8bfe,False,True,2024-03-31T22:35:35
2,Daniel Peters,gordonheather@example.com,Armenia,google,http://cooper.com/wp-content/list/homepage/,personal,free,check,4bcc58f4-aa16-4c15-b2d0-af42fb494bee,False,False,2024-03-31T22:58:02
3,Shannon Sanchez,brendasingh@example.com,Poland,twitter,http://hicks.com/,education,premium,paypal,3abdfdc3-e2a4-4e5b-b95b-88329198671b,True,True,2024-03-31T23:32:46
4,Travis Jacobson,jamessmith@example.org,Ethiopia,twitter,https://reynolds.net/terms.asp,personal,enterprise,check,cb6edc65-5ecb-4005-8a24-e9d7df68caf6,False,False,2024-03-31T23:37:23
5,Rachael Sellers,jeanholt@example.org,Mauritania,twitter,https://hawkins-castillo.com/,personal,enterprise,check,0e02e618-b197-47a0-b1a2-cd5dbe8f4aed,True,False,2024-03-31T23:48:41
6,Rebekah Figueroa,roberto19@example.com,British Indian Ocean Territory (Chagos Archipelago),twitter,https://stark.com/about.asp,other,enterprise,credit_card,373e2982-ef82-436f-a70b-bd8edd00ad92,False,False,2024-04-01T01:08:42
7,Benjamin Arroyo,tarastein@example.net,Guinea,google,http://lowe.com/category.htm,other,trial,credit_card,b9e03f7e-7472-4bfe-839e-d4e15531072d,False,False,2024-04-01T01:28:20
8,Matthew Brown,daniel92@example.com,Spain,google,https://www.sanchez.com/,education,enterprise,paypal,661176d5-93a1-456d-9b61-1a9245f9d9d2,True,True,2024-04-01T02:07:25
9,Jerry Young,james04@example.org,United Kingdom,facebook,https://www.salinas.biz/,other,free,other,00f8c4d4-c0d2-4efe-b4b7-5940ad21cef4,False,False,2024-04-01T02:07:30
10,Cynthia Price,jwilliams@example.org,Russian Federation,facebook,https://byrd.com/,education,free,credit_card,e1e07981-24d9-44fc-aba9-c0ed08a57293,True,False,2024-04-01T02:15:55
11,Emily Dixon,yrivera@example.net,Cocos (Keeling) Islands,twitter,https://www.nielsen-thomas.info/tag/app/wp-content/terms/,education,premium,other,efc2e771-99db-432d-aea0-e5e4bef8506a,True,False,2024-04-01T02:35:28
12,Ernest Simmons,stephaniesparks@example.com,Sierra Leone,twitter,https://www.patterson.com/blog/terms.asp,other,free,paypal,18722a31-a0cb-49a4-8b6f-e07b40b84d32,False,False,2024-04-01T02:44:20
13,Reginald Montgomery,ellen69@example.net,Bahamas,google,http://gill.net/tags/search/app/terms.htm,education,trial,other,1bbc3bb9-aa30-4e78-a65b-9df42edee633,False,True,2024-04-01T02:48:40
14,Joshua Moore,susanroth@example.net,Montserrat,twitter,https://dixon.org/privacy.php,other,enterprise,other,9f01132b-d2a8-4838-a347-b98ef6c31cc0,True,False,2024-04-01T03:14:10
15,Theodore Cunningham,sonya74@example.com,Japan,facebook,https://jones-mccarthy.org/search/list/categories/faq/,other,free,paypal,56293321-fd70-4d4b-81c6-8bbf98daa422,False,False,2024-04-01T03:21:41
16,Alexander Johnson,greenevictor@example.net,Thailand,facebook,http://www.werner.com/category/tag/app/about.asp,education,premium,other,562f7b3b-21eb-4012-a2ba-78a877d10392,True,False,2024-04-01T03:37:25
17,Carrie Chan,luiswashington@example.org,Denmark,other,http://www.hart.com/author.php,personal,free,paypal,b33a89cf-fc31-41e6-90d0-f0bd98c34457,True,False,2024-04-01T03:37:31
18,Kristina Kennedy,reginapeterson@example.com,French Southern Territories,twitter,https://www.hernandez-mccarty.org/tag/list/register/,business,trial,other,82ee7155-8b32-4137-80e5-0141e1c2eb28,False,False,2024-04-01T03:54:19
19,Stephanie Kim,alvaradoeric@example.org,Uganda,twitter,https://gutierrez.biz/categories/list/category/homepage/,personal,enterprise,credit_card,42c4852e-4757-416f-bd77-038ecf0da3e4,True,True,2024-04-01T04:12:25
20,Sophia Mcgee,brandonkeller@example.org,Uzbekistan,google,https://mayer.com/tags/home/,business,trial,other,ca9e0149-2fb1-4f06-92fe-2f1c7cf0162b,True,False,2024-04-01T04:14:26
